pnl_bin,first_sell_count,avg_time_to_first_sell,avg_pct_first_sell,full_exit_count,avg_time_to_full_exit,hazard_rate_first_sell,hazard_rate_full_exit
<-95%,0,,,0,,,
-95_to_-75,630,637.96,85.4,636,607.83,0.001568,0.001645
-75_to_-50,1322,280.66,81.62,1495,279.95,0.003563,0.003572
-50_to_-25,1346,101.29,75.34,1722,97.95,0.009873,0.010209
-25_to_0,23369,4.9,93.02,29764,6.24,0.203904,0.16028
0_to_25,6889,7.65,85.54,9169,8.13,0.130798,0.123011
25_to_100,1834,42.45,63.06,1908,42.96,0.023559,0.023279
100_to_200,545,30.45,56.08,389,38.93,0.032845,0.02569
200_to_500,415,43.49,51.43,267,78.14,0.022996,0.012798
>500%,527,469.2,44.07,257,999.11,0.002131,0.001001
